feature,median
ATSC4dv,39.18523146219938
ATSC5dv,18.44031405223522
ATSC6dv,-13.45454545454547
ATSC7dv,-28.21481481481482
ATSC8dv,-43.91012345679014
ATSC0d,43.09090909090909
ATSC1d,17.375
ATSC2d,3.622950819672133
ATSC3d,1.578512396694213
ATSC4d,2.143820670501885
ATSC5d,1.87111111111111
ATSC6d,-2.666666666666674
ATSC7d,-4.318210459987402
ATSC8d,-5.635354736424891
ATSC0s,75.1037037037037
ATSC1s,-2.369963393397257
ATSC2s,4.779506172839509
ATSC3s,3.257298765432097
ATSC4s,3.368887741046831
ATSC5s,-1.558624786515184
ATSC6s,-2.932609957903915
ATSC7s,-2.309404054260022
ATSC8s,-4.038879277201073
ATSC0Z,571.7948717948716
ATSC1Z,34.57100591715981
ATSC2Z,31.33333333333326
ATSC3Z,-16.04694760455057
ATSC4Z,18.34375
ATSC5Z,23.54687499999999
ATSC6Z,-4.851239669421475
ATSC7Z,-34.19954648526078
ATSC8Z,-53.0
ATSC0m,2708.9383189875
ATSC1m,161.9466068296809
ATSC2m,155.3970370711114
ATSC3m,-79.98250427931175
ATSC4m,84.22719065705515
ATSC5m,120.0059923376145
ATSC6m,-20.43210324930751
ATSC7m,-164.0888967346937
ATSC8m,-257.1753574444443
ATSC0v,3703.743857581858
ATSC1v,28.65375262720893
ATSC2v,386.1158854731806
ATSC3v,15.00507371795467
ATSC4v,45.97338163035167
ATSC5v,228.8284695950083
ATSC6v,92.6924125460699
ATSC7v,-193.7100484724521
ATSC8v,-343.676570554988
ATSC0se,4.055904144927535
ATSC1se,-0.0687813619076636
ATSC2se,-0.0124590055426313
ATSC3se,-0.1670728839865306
ATSC4se,0.0386167539439696
ATSC5se,-0.1453029269149965
ATSC6se,-0.1155949822415696
ATSC7se,-0.093954407699295
ATSC8se,-0.2583437836434443
ATSC0pe,6.823115662650598
ATSC1pe,0.2140219503287147
ATSC2pe,0.0257560000000106
ATSC3pe,-0.0131929845422075
ATSC4pe,0.2706710562414234
ATSC5pe,-0.0371245149911798
ATSC6pe,-0.1909727810650881
ATSC7pe,-0.2344841836734554
ATSC8pe,-0.5131937180423668
ATSC0are,7.228523437499996
ATSC1are,0.0968984839476882
ATSC2are,-0.0262092737628972
ATSC3are,-0.0614244897959149
ATSC4are,0.2215125000000005
ATSC5are,-0.1760938271604936
ATSC6are,-0.2084560255198341
ATSC7are,-0.1892093294460657
ATSC8are,-0.5369648760330596
ATSC0p,17.55159795930779
ATSC1p,-0.6547512606560517
ATSC2p,2.138038356415103
ATSC3p,-0.1678172178586044
ATSC4p,-0.3688785134899846
ATSC5p,0.6596589387938161
ATSC6p,0.4479665917610425
ATSC7p,-0.5861855865489738
ATSC8p,-1.50872236093284
ATSC0i,117.9496107740093
ATSC1i,-18.17084617803057
ATSC2i,13.32522243737461
ATSC3i,-2.469817201224734
ATSC4i,-6.208969130702428
ATSC5i,0.136885185296666
ATSC6i,5.042145413014232
ATSC7i,-4.541884455199171
ATSC8i,-12.13690104002893
AATSC0c,0.016684591758958
AATSC1c,-0.0066424306467705
AATSC0dv,3.632222222222223
AATSC1dv,1.120207088809238
AATSC2dv,0.3173235287455706
AATSC3dv,0.1946272994491917
AATSC4dv,0.1937887704666481
AATSC5dv,0.092123017474022
AATSC6dv,-0.0744123118552342
AATSC7dv,-0.1870648259303721
AATSC8dv,-0.265641592920354
AATSC0d,0.5858290723155587
AATSC1d,0.2298926145079989
AATSC2d,0.0300228483836214
AATSC3d,0.0088753005996773
AATSC4d,0.0116326295258198
AATSC5d,0.0111232392535994
AATSC6d,-0.0161879566641471
AATSC7d,-0.0259232954545454
AATSC8d,-0.0357804886660546
AATSC0s,0.9656
AATSC1s,-0.031073942163671
AATSC2s,0.038593944042662
AATSC3s,0.0178462297163055
AATSC4s,0.0171799274005822
AATSC5s,-0.0087927539623112
AATSC6s,-0.0168971180930121
AATSC7s,-0.0129201133252434
AATSC8s,-0.0264969135802469
AATSC0Z,7.208504801097397
AATSC1Z,0.4496011357490531
AATSC2Z,0.241090344459687
AATSC3Z,-0.0907605286438087
AATSC4Z,0.1014351721303467
AATSC5Z,0.1327479338842974
AATSC6Z,-0.0334417278895178
AATSC7Z,-0.2144097222222222
AATSC8Z,-0.3571195038181531
AATSC0m,34.33201811959876
AATSC1m,2.105049927413758
AATSC2m,1.22805333816902
AATSC3m,-0.4638009767354711
AATSC4m,0.487447016088452
AATSC5m,0.6498437926972459
AATSC6m,-0.1480587191978805
AATSC7m,-1.002311662306239
AATSC8m,-1.677066802672052
AATSC0v,50.16954106607267
AATSC1v,0.3746307058027981
AATSC2v,2.835804695923602
AATSC3v,0.0880624371701973
AATSC4v,0.244153920678252
AATSC5v,1.18967518919118
